init?shape0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height5?width5?
0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?
0?pos_derivs[[287.0, 206.1494500000001], [10.0, 6.297000000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[287.5, 206.47656250000009], [10.0, 6.787500000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[288.0, 206.8282000000001], [10.0, 7.278000000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[288.5, 207.2043625000001], [10.0, 7.768500000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[289.0, 207.6050500000001], [10.0, 8.259000000000036], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[289.5, 208.0302625000001], [10.0, 8.749500000000037], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[290.0, 208.4800000000001], [10.0, 9.240000000000038], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[290.5, 208.9542625000001], [10.0, 9.730500000000038], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[291.0, 209.4530500000001], [10.0, 10.22100000000004], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[291.5, 209.9763625000001], [10.0, 10.71150000000004], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[292.0, 210.52420000000012], [10.0, 11.20200000000004], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[292.5, 211.09656250000012], [10.0, 11.692500000000042], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[293.0, 211.69345000000013], [10.0, 12.183000000000042], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[293.5, 212.31486250000012], [10.0, 12.673500000000043], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[294.0, 212.96080000000012], [10.0, 13.164000000000044], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[294.5, 213.63126250000013], [10.0, 13.654500000000045], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[295.0, 214.32625000000013], [10.0, 14.145000000000046], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[295.5, 215.04576250000014], [10.0, 14.635500000000047], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[296.0, 215.78980000000013], [10.0, 15.126000000000047], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[296.5, 216.55836250000013], [10.0, 15.616500000000048], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[297.0, 217.35145000000014], [10.0, 16.10700000000005], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[297.5, 218.16906250000014], [10.0, 16.59750000000005], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[298.0, 219.01120000000014], [10.0, 17.08800000000005], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[298.5, 219.87786250000013], [10.0, 17.57850000000005], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[299.0, 220.76905000000014], [10.0, 18.069000000000052], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[299.5, 221.68476250000015], [10.0, 18.559500000000053], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[300.0, 222.62500000000014], [10.0, 19.050000000000054], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[300.5, 223.58976250000015], [10.0, 19.540500000000055], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[301.0, 224.57905000000014], [10.0, 20.031000000000056], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[301.5, 225.59286250000014], [10.0, 20.521500000000056], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[302.0, 226.63120000000015], [10.0, 21.012000000000057], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[302.5, 227.69406250000014], [10.0, 21.502500000000058], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[303.0, 228.78145000000015], [10.0, 21.99300000000006], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[303.5, 229.89336250000017], [10.0, 22.48350000000006], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[304.0, 231.02980000000017], [10.0, 22.97400000000006], [0.0, 9.81], [0, 0]]?
