init?shape0?pos_derivs[[0, 0], [0, 0], [0, -9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height1?width1?
1tick100?pos_derivs[[50.0, 0.095], [0.0, -4.809999999999993], [0.0, -9.81], [0, 0]]?
0tick101?pos_derivs[[0.0, -5.003590499999998], [0.0, -9.908099999999996], [0.0, -9.81], [0, 0]]?
1tick101?pos_derivs[[50.0, 0.0464095], [0.0, -4.908099999999993], [0.0, -9.81], [0, 0]]?
0tick102?pos_derivs[[0.0, -5.103161999999998], [0.0, -10.006199999999996], [0.0, -9.81], [0, 0]]?
1tick102?pos_derivs[[50.0, -0.003162], [0.0, -5.006199999999993], [0.0, -9.81], [0, 0]]?
0tick103?pos_derivs[[0.0, -5.203714499999998], [0.0, -10.104299999999997], [0.0, -9.81], [0, 0]]?
1tick103?pos_derivs[[50.0, -0.0537145], [0.0, -5.104299999999992], [0.0, -9.81], [0, 0]]?
0tick104?pos_derivs[[0.0, -5.305247999999998], [0.0, -10.202399999999997], [0.0, -9.81], [0, 0]]?
1tick104?pos_derivs[[50.0, -0.105248], [0.0, -5.202399999999992], [0.0, -9.81], [0, 0]]?
0tick105?pos_derivs[[0.0, -5.407762499999998], [0.0, -10.300499999999998], [0.0, -9.81], [0, 0]]?
1tick105?pos_derivs[[50.0, -0.1577625], [0.0, -5.300499999999992], [0.0, -9.81], [0, 0]]?
0tick106?pos_derivs[[0.0, -5.511257999999998], [0.0, -10.398599999999998], [0.0, -9.81], [0, 0]]?
1tick106?pos_derivs[[50.0, -0.211258], [0.0, -5.398599999999992], [0.0, -9.81], [0, 0]]?
0tick107?pos_derivs[[0.0, -5.615734499999998], [0.0, -10.496699999999999], [0.0, -9.81], [0, 0]]?
1tick107?pos_derivs[[50.0, -0.2657345], [0.0, -5.496699999999992], [0.0, -9.81], [0, 0]]?
0tick108?pos_derivs[[0.0, -5.721191999999998], [0.0, -10.5948], [0.0, -9.81], [0, 0]]?
1tick108?pos_derivs[[50.0, -0.321192], [0.0, -5.594799999999991], [0.0, -9.81], [0, 0]]?
0tick109?pos_derivs[[0.0, -5.827630499999998], [0.0, -10.6929], [0.0, -9.81], [0, 0]]?
1tick109?pos_derivs[[50.0, -0.3776305], [0.0, -5.692899999999991], [0.0, -9.81], [0, 0]]?
0tick110?pos_derivs[[0.0, -5.935049999999998], [0.0, -10.791], [0.0, -9.81], [0, 0]]?
1tick110?pos_derivs[[50.0, -0.43505], [0.0, -5.790999999999991], [0.0, -9.81], [0, 0]]?
0tick111?pos_derivs[[0.0, -6.043450499999998], [0.0, -10.889100000000001], [0.0, -9.81], [0, 0]]?
1tick111?pos_derivs[[50.0, -0.4934505], [0.0, -5.88909999999999], [0.0, -9.81], [0, 0]]?
0tick112?pos_derivs[[0.0, -6.152831999999998], [0.0, -10.987200000000001], [0.0, -9.81], [0, 0]]?
1tick112?pos_derivs[[50.0, -0.552832], [0.0, -5.98719999999999], [0.0, -9.81], [0, 0]]?
0tick113?pos_derivs[[0.0, -6.263194499999998], [0.0, -11.085300000000002], [0.0, -9.81], [0, 0]]?
1tick113?pos_derivs[[50.0, -0.6131945], [0.0, -6.085299999999989], [0.0, -9.81], [0, 0]]?
0tick114?pos_derivs[[0.0, -6.374537999999998], [0.0, -11.183400000000002], [0.0, -9.81], [0, 0]]?
1tick114?pos_derivs[[50.0, -0.674538], [0.0, -6.183399999999988], [0.0, -9.81], [0, 0]]?
0tick115?pos_derivs[[0.0, -6.486862499999997], [0.0, -11.281500000000003], [0.0, -9.81], [0, 0]]?
1tick115?pos_derivs[[50.0, -0.7368625], [0.0, -6.281499999999988], [0.0, -9.81], [0, 0]]?
0tick116?pos_derivs[[0.0, -6.600167999999997], [0.0, -11.379600000000003], [0.0, -9.81], [0, 0]]?
1tick116?pos_derivs[[50.0, -0.800168], [0.0, -6.379599999999988], [0.0, -9.81], [0, 0]]?
0tick117?pos_derivs[[0.0, -6.714454499999998], [0.0, -11.477700000000004], [0.0, -9.81], [0, 0]]?
1tick117?pos_derivs[[50.0, -0.8644545], [0.0, -6.477699999999988], [0.0, -9.81], [0, 0]]?
0tick118?pos_derivs[[0.0, -6.829721999999998], [0.0, -11.575800000000005], [0.0, -9.81], [0, 0]]?
1tick118?pos_derivs[[50.0, -0.929722], [0.0, -6.575799999999988], [0.0, -9.81], [0, 0]]?
0tick119?pos_derivs[[0.0, -6.945970499999998], [0.0, -11.673900000000005], [0.0, -9.81], [0, 0]]?
1tick119?pos_derivs[[50.0, -0.9959705], [0.0, -6.673899999999987], [0.0, -9.81], [0, 0]]?
0tick120?pos_derivs[[0.0, -7.063199999999997], [0.0, -11.772000000000006], [0.0, -9.81], [0, 0]]?
1tick120?pos_derivs[[50.0, -1.0632], [0.0, -6.771999999999987], [0.0, -9.81], [0, 0]]?
0tick121?pos_derivs[[0.0, -7.181410499999997], [0.0, -11.870100000000006], [0.0, -9.81], [0, 0]]?
