20?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
21?shapeCircle?pos[0.0, -22.661100000000005]?velocity[0.0, -21.582000000000008]?mass10.0?bounce1.0?staticFalse?radius10.0?
21?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
21?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
22?shapeCircle?pos[0.0, -24.819300000000005]?velocity[0.0, -22.56300000000001]?mass10.0?bounce1.0?staticFalse?radius10.0?
22?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
22?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
23?shapeCircle?pos[0.0, -27.075600000000005]?velocity[0.0, -23.54400000000001]?mass10.0?bounce1.0?staticFalse?radius10.0?
23?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
23?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
24?shapeCircle?pos[0.0, -29.430000000000007]?velocity[0.0, -24.525000000000013]?mass10.0?bounce1.0?staticFalse?radius10.0?
24?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
24?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
25?shapeCircle?pos[0.0, -31.882500000000007]?velocity[0.0, -25.506000000000014]?mass10.0?bounce1.0?staticFalse?radius10.0?
25?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
25?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
26?shapeCircle?pos[0.0, -34.43310000000001]?velocity[0.0, -26.487000000000016]?mass10.0?bounce1.0?staticFalse?radius10.0?
26?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
26?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
27?shapeCircle?pos[0.0, -37.081800000000015]?velocity[0.0, -27.468000000000018]?mass10.0?bounce1.0?staticFalse?radius10.0?
27?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
27?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
28?shapeCircle?pos[0.0, -39.828600000000016]?velocity[0.0, -28.44900000000002]?mass10.0?bounce1.0?staticFalse?radius10.0?
28?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
28?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
29?shapeCircle?pos[0.0, -42.67350000000002]?velocity[0.0, -29.43000000000002]?mass10.0?bounce1.0?staticFalse?radius10.0?
29?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
29?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
30?shapeCircle?pos[0.0, -45.61650000000002]?velocity[0.0, -30.411000000000023]?mass10.0?bounce1.0?staticFalse?radius10.0?
30?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
30?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
31?shapeCircle?pos[0.0, -48.65760000000002]?velocity[0.0, -31.392000000000024]?mass10.0?bounce1.0?staticFalse?radius10.0?
31?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
31?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
32?shapeCircle?pos[0.0, -51.796800000000026]?velocity[0.0, -32.373000000000026]?mass10.0?bounce1.0?staticFalse?radius10.0?
32?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
32?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
33?shapeCircle?pos[0.0, -55.03410000000003]?velocity[0.0, -33.35400000000003]?mass10.0?bounce1.0?staticFalse?radius10.0?
33?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
33?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
34?shapeCircle?pos[0.0, -58.36950000000003]?velocity[0.0, -34.33500000000003]?mass10.0?bounce1.0?staticFalse?radius10.0?
34?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
34?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
35?shapeCircle?pos[0.0, -61.80300000000003]?velocity[0.0, -35.31600000000003]?mass10.0?bounce1.0?staticFalse?radius10.0?
35?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
35?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
36?shapeCircle?pos[0.0, -65.33460000000004]?velocity[0.0, -36.29700000000003]?mass10.0?bounce1.0?staticFalse?radius10.0?
36?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
36?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
37?shapeCircle?pos[0.0, -68.96430000000004]?velocity[0.0, -37.278000000000034]?mass10.0?bounce1.0?staticFalse?radius10.0?
37?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
37?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
38?shapeCircle?pos[0.0, -72.69210000000004]?velocity[0.0, -38.259000000000036]?mass10.0?bounce1.0?staticFalse?radius10.0?
38?shapeRect?pos[100.0, -450.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
38?shapeRect?pos[100.0, 600.0]?velocity[0.0, 0.0]?mass10.0?bounce1.0?staticTrue?width20.0?height1000?
